Unnamed: 0,T,Y,PARTYID7,IDEO,RELIG,ATTEND,SURV_MODE,SURV_LANG,GENDER,AGE,RACETHNICITY,EDUC5,MARITAL,EMPLOY,INCOME,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,Y1hat_responses,Y0hat_responses,Y1hat,Y0hat
0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,33.0,1.0,5.0,1.0,1.0,14.0,8.0,1.0,1.0,1.0,1.0,4.0,"[3, 3, 4, 3, 3, 4, 3, 4, 4, 4]","[4, 4, 3, 3, 3, 4, 3, 2, 3, 4]",3.5,3.3
1,1.0,3.0,4.0,4.0,12.0,7.0,2.0,1.0,1.0,22.0,5.0,1.0,5.0,1.0,5.0,7.0,1.0,1.0,2.0,1.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 3, 2]",2.0,2.1
2,1.0,1.0,6.0,4.0,1.0,9.0,2.0,1.0,1.0,28.0,1.0,4.0,1.0,1.0,12.0,7.0,1.0,1.0,1.0,1.0,4.0,"[1, 1, 2, 1, 2, 2, 2, 2, 1, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1.6,2.0
3,1.0,2.0,4.0,3.0,11.0,2.0,2.0,1.0,2.0,69.0,1.0,3.0,4.0,5.0,8.0,6.0,1.0,1.0,1.0,1.0,2.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
4,0.0,5.0,1.0,1.0,12.0,7.0,2.0,1.0,2.0,32.0,1.0,5.0,1.0,1.0,14.0,9.0,1.0,1.0,2.0,3.0,4.0,"[2, 2, 5, 4, 2, 4, 2, 4, 1, 5]","[3, 1, 5, 1, 2, 5, 5, 1, 5, 5]",3.1,3.3
5,0.0,1.0,5.0,3.0,1.0,3.0,2.0,1.0,1.0,58.0,1.0,3.0,1.0,1.0,13.0,3.0,1.0,1.0,1.0,1.0,4.0,"[2, 2, 2, 2, 2, 2, 3, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.1,2.0
6,1.0,3.0,2.0,3.0,12.0,6.0,2.0,1.0,2.0,42.0,2.0,3.0,5.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,5.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
7,1.0,2.0,5.0,5.0,12.0,1.0,2.0,1.0,1.0,70.0,1.0,3.0,6.0,1.0,11.0,9.0,1.0,1.0,1.0,1.0,2.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1.0,1.1
8,0.0,4.0,3.0,3.0,10.0,2.0,2.0,1.0,2.0,64.0,1.0,5.0,2.0,6.0,16.0,9.0,0.0,0.0,3.0,1.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
9,1.0,3.0,1.0,1.0,10.0,1.0,2.0,1.0,2.0,59.0,1.0,3.0,1.0,7.0,14.0,8.0,1.0,1.0,1.0,1.0,4.0,"[5, 2, 5, 5, 2, 1, 1, 5, 5, 5]","[5, 5, 5, 1, 1, 5, 5, 1, 5, 5]",3.6,3.8
10,0.0,2.0,2.0,3.0,1.0,5.0,2.0,1.0,2.0,38.0,5.0,4.0,5.0,2.0,11.0,3.0,1.0,1.0,1.0,1.0,3.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
11,1.0,1.0,6.0,4.0,12.0,1.0,2.0,1.0,1.0,63.0,1.0,3.0,1.0,5.0,7.0,2.0,1.0,1.0,1.0,4.0,4.0,"[2, 2, 2, 1, 2, 1, 3, 2, 1, 2]","[1, 1, 1, 1, 1, 1, 2, 2, 2, 2]",1.8,1.4
12,1.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,69.0,1.0,4.0,1.0,5.0,9.0,5.0,1.0,1.0,1.0,3.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 2, 3, 3, 2, 3]",3.0,2.8
13,0.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,54.0,1.0,2.0,1.0,1.0,13.0,3.0,0.0,0.0,1.0,1.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 2, 4]","[3, 3, 4, 3, 3, 3, 3, 4, 3, 3]",3.0,3.2
14,1.0,3.0,6.0,3.0,11.0,1.0,2.0,1.0,1.0,61.0,1.0,5.0,1.0,5.0,14.0,5.0,1.0,1.0,1.0,1.0,4.0,"[3, 2, 3, 2, 3, 2, 3, 2, 2, 2]","[1, 2, 2, 2, 2, 2, 3, 2, 2, 2]",2.4,2.0
15,1.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,71.0,1.0,3.0,1.0,1.0,9.0,9.0,1.0,1.0,3.0,1.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[2, 2, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,2.8
16,0.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,69.0,1.0,2.0,2.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 2, 3, 3, 3, 2, 2, 3, 2, 3]",3.0,2.6
17,1.0,1.0,7.0,5.0,2.0,4.0,2.0,1.0,2.0,64.0,1.0,2.0,1.0,2.0,14.0,8.0,1.0,1.0,1.0,1.0,2.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0
18,0.0,2.0,7.0,5.0,11.0,4.0,2.0,1.0,1.0,32.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,4.0,4.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1
19,0.0,3.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,60.0,1.0,2.0,5.0,5.0,10.0,5.0,1.0,1.0,1.0,1.0,2.0,"[2, 2, 2, 2, 2, 2, 3, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 3]",2.1,2.1
20,0.0,1.0,7.0,3.0,2.0,8.0,2.0,1.0,1.0,47.0,1.0,3.0,3.0,1.0,8.0,7.0,1.0,1.0,1.0,1.0,3.0,"[2, 1, 2, 1, 1, 1, 1, 1, 2, 2]","[1, 1, 2, 2, 2, 2, 1, 2, 1, 2]",1.4,1.6
21,0.0,1.0,7.0,5.0,1.0,2.0,2.0,1.0,2.0,66.0,1.0,3.0,1.0,6.0,12.0,2.0,1.0,1.0,1.0,1.0,2.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0
22,0.0,1.0,5.0,5.0,1.0,3.0,2.0,1.0,1.0,64.0,1.0,3.0,5.0,1.0,10.0,8.0,1.0,1.0,2.0,3.0,4.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1.0,1.1
23,1.0,5.0,2.0,2.0,12.0,9.0,2.0,1.0,1.0,49.0,2.0,3.0,3.0,2.0,8.0,6.0,1.0,1.0,1.0,3.0,2.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
24,0.0,1.0,7.0,5.0,1.0,8.0,2.0,1.0,2.0,53.0,1.0,2.0,5.0,1.0,6.0,2.0,1.0,1.0,1.0,3.0,2.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0
25,1.0,2.0,1.0,4.0,12.0,4.0,2.0,1.0,2.0,58.0,2.0,2.0,6.0,1.0,2.0,7.0,1.0,1.0,2.0,1.0,4.0,"[3, 3, 3, 3, 3, 3, 2, 3, 3, 3]","[3, 2, 3, 3, 3, 3, 3, 4, 3, 3]",2.9,3.0
26,1.0,3.0,2.0,3.0,12.0,3.0,2.0,1.0,2.0,29.0,2.0,3.0,5.0,1.0,18.0,2.0,1.0,1.0,1.0,1.0,2.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
27,1.0,3.0,4.0,4.0,1.0,9.0,2.0,1.0,1.0,31.0,1.0,3.0,1.0,1.0,13.0,9.0,1.0,1.0,1.0,3.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.0,2.0
28,1.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,70.0,1.0,3.0,3.0,5.0,5.0,7.0,1.0,1.0,1.0,1.0,2.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 4, 3, 3, 3, 3, 3]",3.0,3.1
29,0.0,5.0,1.0,1.0,11.0,2.0,2.0,1.0,2.0,30.0,1.0,5.0,5.0,1.0,11.0,5.0,1.0,1.0,2.0,1.0,4.0,"[2, 5, 5, 4, 2, 5, 2, 5, 5, 5]","[5, 1, 1, 1, 5, 5, 5, 5, 5, 5]",4.0,3.8
30,0.0,1.0,7.0,3.0,2.0,3.0,2.0,1.0,2.0,34.0,1.0,3.0,1.0,1.0,16.0,3.0,1.0,1.0,1.0,1.0,2.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 1, 2, 2, 2, 2, 1, 1, 2, 2]",2.0,1.7
31,0.0,3.0,4.0,3.0,11.0,1.0,2.0,1.0,2.0,37.0,1.0,4.0,5.0,1.0,8.0,7.0,1.0,1.0,2.0,3.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
32,1.0,2.0,2.0,2.0,11.0,1.0,2.0,1.0,2.0,29.0,1.0,3.0,1.0,1.0,14.0,8.0,1.0,1.0,1.0,1.0,4.0,"[3, 3, 3, 3, 4, 3, 3, 3, 3, 4]","[2, 3, 3, 3, 3, 4, 4, 3, 3, 3]",3.2,3.1
33,0.0,1.0,3.0,4.0,12.0,2.0,2.0,1.0,2.0,35.0,2.0,3.0,6.0,1.0,6.0,5.0,1.0,0.0,2.0,3.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 2, 3, 3, 3, 3, 3]",3.0,2.9
34,1.0,2.0,5.0,3.0,11.0,2.0,2.0,1.0,1.0,54.0,2.0,4.0,3.0,2.0,10.0,5.0,1.0,1.0,2.0,3.0,4.0,"[2, 3, 3, 2, 2, 2, 3, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 3, 2, 2, 2]",2.3,2.1
35,1.0,4.0,3.0,3.0,1.0,5.0,2.0,1.0,2.0,76.0,1.0,3.0,3.0,5.0,11.0,8.0,1.0,1.0,1.0,1.0,3.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
36,1.0,2.0,1.0,2.0,1.0,8.0,2.0,1.0,1.0,77.0,1.0,3.0,1.0,5.0,13.0,8.0,1.0,1.0,1.0,1.0,2.0,"[3, 3, 3, 3, 2, 3, 3, 3, 3, 3]","[3, 2, 3, 3, 4, 3, 3, 3, 3, 3]",2.9,3.0
37,1.0,5.0,7.0,5.0,2.0,3.0,2.0,1.0,1.0,54.0,1.0,3.0,4.0,5.0,9.0,5.0,1.0,0.0,1.0,1.0,3.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0
38,0.0,2.0,1.0,3.0,2.0,6.0,2.0,1.0,2.0,43.0,1.0,4.0,1.0,1.0,14.0,1.0,1.0,1.0,2.0,2.0,2.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 4, 3, 3]",3.0,3.1
39,1.0,5.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,46.0,1.0,5.0,1.0,1.0,15.0,9.0,1.0,1.0,1.0,1.0,4.0,"[5, 5, 4, 5, 2, 5, 2, 4, 5, 5]","[5, 5, 5, 5, 4, 5, 5, 5, 5, 5]",4.2,4.9
40,1.0,3.0,4.0,4.0,11.0,1.0,2.0,1.0,1.0,30.0,2.0,2.0,6.0,1.0,11.0,3.0,1.0,1.0,1.0,1.0,4.0,"[2, 3, 3, 3, 2, 2, 2, 3, 3, 2]","[2, 2, 2, 2, 2, 2, 3, 2, 3, 3]",2.5,2.3
41,1.0,2.0,3.0,3.0,11.0,1.0,2.0,1.0,2.0,32.0,1.0,5.0,1.0,1.0,14.0,4.0,1.0,1.0,1.0,1.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
42,0.0,3.0,4.0,4.0,6.0,8.0,2.0,1.0,1.0,50.0,1.0,4.0,1.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 1, 2, 2, 3, 2, 2, 3]",2.0,2.1
43,1.0,2.0,1.0,1.0,12.0,6.0,2.0,1.0,1.0,30.0,2.0,2.0,6.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0,"[2, 3, 4, 4, 2, 5, 2, 4, 2, 5]","[5, 5, 1, 4, 5, 5, 4, 5, 5, 4]",3.3,4.3
44,1.0,1.0,7.0,3.0,1.0,8.0,2.0,1.0,2.0,90.0,1.0,3.0,3.0,5.0,4.0,8.0,1.0,1.0,1.0,1.0,2.0,"[1, 1, 1, 1, 1, 1, 3, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.2,1.0
45,0.0,1.0,4.0,4.0,12.0,9.0,2.0,1.0,1.0,68.0,5.0,5.0,1.0,1.0,9.0,6.0,1.0,1.0,1.0,1.0,3.0,"[2, 1, 2, 1, 2, 2, 2, 1, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 1, 1]",1.7,1.8
46,0.0,5.0,1.0,1.0,11.0,4.0,2.0,1.0,2.0,31.0,1.0,5.0,5.0,1.0,13.0,1.0,1.0,1.0,1.0,3.0,4.0,"[2, 5, 4, 5, 5, 5, 2, 4, 5, 5]","[5, 3, 4, 4, 5, 1, 5, 1, 4, 4]",4.2,3.6
