,Unnamed: 0,T,Y,PARTYID7,IDEO,RELIG,ATTEND,SURV_MODE,SURV_LANG,GENDER,AGE,RACETHNICITY,EDUC5,MARITAL,EMPLOY,INCOME,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,Y1hat_responses,Y0hat_responses,Y1hat,Y0hat
0,0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,33.0,1.0,5.0,1.0,1.0,14.0,8.0,1.0,1.0,1.0,1.0,4.0,"[4, 4, 3, 3, 3, 3, 3, 4, 3]","[2, 2, 4, 3, 3, 2, 4, 3, 4, 4]",3.3333333333333335,3.1
1,1,1.0,3.0,4.0,4.0,12.0,7.0,2.0,1.0,1.0,22.0,5.0,1.0,5.0,1.0,5.0,7.0,1.0,1.0,2.0,1.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1, 2, 2, 2, 2, 2, 2, 1]",2.0,1.75
2,2,1.0,1.0,6.0,4.0,1.0,9.0,2.0,1.0,1.0,28.0,1.0,4.0,1.0,1.0,12.0,7.0,1.0,1.0,1.0,1.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.0,2.0
3,3,1.0,2.0,4.0,3.0,11.0,2.0,2.0,1.0,2.0,69.0,1.0,3.0,4.0,5.0,8.0,6.0,1.0,1.0,1.0,1.0,2.0,"[3, 3, 3, 3, 2, 2, 2, 3, 3]","[2, 2, 2, 2, 3, 2, 2, 2]",2.6666666666666665,2.125
4,4,0.0,5.0,1.0,1.0,12.0,7.0,2.0,1.0,2.0,32.0,1.0,5.0,1.0,1.0,14.0,9.0,1.0,1.0,2.0,3.0,4.0,"[3, 4, 4, 4, 4, 2, 4, 4, 4, 4]","[4, 2, 4, 5, 2, 2, 2, 4, 2, 4]",3.7,3.1
5,5,0.0,1.0,5.0,3.0,1.0,3.0,2.0,1.0,1.0,58.0,1.0,3.0,1.0,1.0,13.0,3.0,1.0,1.0,1.0,1.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2]",2.0,2.0
6,6,1.0,3.0,2.0,3.0,12.0,6.0,2.0,1.0,2.0,42.0,2.0,3.0,5.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,5.0,"[3, 3, 2, 3, 2, 3, 3, 3, 3, 3]","[3, 3, 2, 2, 2, 3, 2, 2, 4, 3]",2.8,2.6
7,7,1.0,2.0,5.0,5.0,12.0,1.0,2.0,1.0,1.0,70.0,1.0,3.0,6.0,1.0,11.0,9.0,1.0,1.0,1.0,1.0,2.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]",1.0,1.0
8,8,0.0,4.0,3.0,3.0,10.0,2.0,2.0,1.0,2.0,64.0,1.0,5.0,2.0,6.0,16.0,9.0,0.0,0.0,3.0,1.0,4.0,"[3, 3, 3, 3, 3, 3, 2, 3, 3, 3]","[3, 3, 3, 2, 3, 3, 2, 3, 4]",2.9,2.888888888888889
9,9,1.0,3.0,1.0,1.0,10.0,1.0,2.0,1.0,2.0,59.0,1.0,3.0,1.0,7.0,14.0,8.0,1.0,1.0,1.0,1.0,4.0,"[4, 4, 5, 4, 4, 4, 4, 4, 5, 4]","[4, 5, 4, 4, 5, 4, 2, 4, 5]",4.2,4.111111111111111
10,10,0.0,2.0,2.0,3.0,1.0,5.0,2.0,1.0,2.0,38.0,5.0,4.0,5.0,2.0,11.0,3.0,1.0,1.0,1.0,1.0,3.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 2, 2, 2, 2, 2, 2, 2, 2]",3.0,2.111111111111111
11,11,1.0,1.0,6.0,4.0,12.0,1.0,2.0,1.0,1.0,63.0,1.0,3.0,1.0,5.0,7.0,2.0,1.0,1.0,1.0,4.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1, 1, 2, 2, 2, 2, 2, 1, 2]",2.0,1.6666666666666667
12,12,1.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,69.0,1.0,4.0,1.0,5.0,9.0,5.0,1.0,1.0,1.0,3.0,4.0,"[3, 2, 2, 2, 2, 2, 3, 2, 2, 2]","[3, 3, 2, 2, 2, 2, 2, 2, 3, 2]",2.2,2.3
13,13,0.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,54.0,1.0,2.0,1.0,1.0,13.0,3.0,0.0,0.0,1.0,1.0,4.0,"[4, 3, 2, 4, 3, 3, 3, 4, 3, 4]","[3, 2, 2, 3, 4, 3, 2, 3, 3]",3.3,2.7777777777777777
14,14,1.0,3.0,6.0,3.0,11.0,1.0,2.0,1.0,1.0,61.0,1.0,5.0,1.0,5.0,14.0,5.0,1.0,1.0,1.0,1.0,4.0,"[3, 2, 2, 2, 2, 2, 2, 3, 3]","[2, 2, 2, 2, 3, 2, 2, 2, 2, 2]",2.3333333333333335,2.1
15,15,1.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,71.0,1.0,3.0,1.0,1.0,9.0,9.0,1.0,1.0,3.0,1.0,4.0,"[3, 3, 2, 3, 3, 2, 2, 3, 2, 3]","[2, 2, 2, 2, 2, 2, 2, 2, 3]",2.6,2.111111111111111
16,16,0.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,69.0,1.0,2.0,2.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,4.0,"[3, 2, 2, 2, 3, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 2, 2, 2, 2]",2.6,2.0
17,17,1.0,1.0,7.0,5.0,2.0,4.0,2.0,1.0,2.0,64.0,1.0,2.0,1.0,2.0,14.0,8.0,1.0,1.0,1.0,1.0,2.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0
18,18,0.0,2.0,7.0,5.0,11.0,4.0,2.0,1.0,1.0,32.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,4.0,4.0,"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0
19,19,0.0,3.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,60.0,1.0,2.0,5.0,5.0,10.0,5.0,1.0,1.0,1.0,1.0,2.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.0,2.0
20,20,0.0,1.0,7.0,3.0,2.0,8.0,2.0,1.0,1.0,47.0,1.0,3.0,3.0,1.0,8.0,7.0,1.0,1.0,1.0,1.0,3.0,"[2, 2, 2, 2, 2, 2, 3, 2, 2, 2]","[1, 2, 1, 1, 2, 1, 1, 1, 2, 1]",2.1,1.3
21,21,0.0,1.0,7.0,5.0,1.0,2.0,2.0,1.0,2.0,66.0,1.0,3.0,1.0,6.0,12.0,2.0,1.0,1.0,1.0,1.0,2.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0
22,22,0.0,1.0,5.0,5.0,1.0,3.0,2.0,1.0,1.0,64.0,1.0,3.0,5.0,1.0,10.0,8.0,1.0,1.0,2.0,3.0,4.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0
23,23,1.0,5.0,2.0,2.0,12.0,9.0,2.0,1.0,1.0,49.0,2.0,3.0,3.0,2.0,8.0,6.0,1.0,1.0,1.0,3.0,2.0,"[3, 3, 3, 3, 3, 2, 2, 2, 3, 3]","[3, 3, 2, 2, 2, 2, 2, 2, 2, 2]",2.7,2.2
24,24,0.0,1.0,7.0,5.0,1.0,8.0,2.0,1.0,2.0,53.0,1.0,2.0,5.0,1.0,6.0,2.0,1.0,1.0,1.0,3.0,2.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0
25,25,1.0,2.0,1.0,4.0,12.0,4.0,2.0,1.0,2.0,58.0,2.0,2.0,6.0,1.0,2.0,7.0,1.0,1.0,2.0,1.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.0,2.0
26,26,1.0,3.0,2.0,3.0,12.0,3.0,2.0,1.0,2.0,29.0,2.0,3.0,5.0,1.0,18.0,2.0,1.0,1.0,1.0,1.0,2.0,"[3, 3, 3, 3, 3, 3, 2, 3, 3, 3]","[3, 2, 3, 3, 2, 3, 2, 2, 3, 3]",2.9,2.6
27,27,1.0,3.0,4.0,4.0,1.0,9.0,2.0,1.0,1.0,31.0,1.0,3.0,1.0,1.0,13.0,9.0,1.0,1.0,1.0,3.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 1, 2, 2, 1]",2.0,1.7777777777777777
28,28,1.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,70.0,1.0,3.0,3.0,5.0,5.0,7.0,1.0,1.0,1.0,1.0,2.0,"[3, 2, 2, 3, 3, 3, 3, 3, 3]","[2, 2, 2, 2, 2, 2, 3, 2, 3, 2]",2.7777777777777777,2.2
