Unnamed: 0,T,Y,PARTYID7,IDEO,RELIG,ATTEND,SURV_MODE,SURV_LANG,GENDER,AGE,RACETHNICITY,EDUC5,MARITAL,EMPLOY,INCOME,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,Y1hat_responses,Y0hat_responses,Y1hat,Y0hat
0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,33.0,1.0,5.0,1.0,1.0,14.0,8.0,1.0,1.0,1.0,1.0,4.0,"[3, 3, 4, 4, 3, 3, 3, 4, 3, 2]","[3, 3, 2, 2, 2, 2, 4, 3, 3, 3]",3.2,2.7
1,1.0,3.0,4.0,4.0,12.0,7.0,2.0,1.0,1.0,22.0,5.0,1.0,5.0,1.0,5.0,7.0,1.0,1.0,2.0,1.0,4.0,"[3, 3, 4, 3, 3, 3, 3, 4, 3, 4]","[4, 3, 3, 4, 4, 2, 3, 2, 2, 4]",3.3,3.1
2,1.0,1.0,6.0,4.0,1.0,9.0,2.0,1.0,1.0,28.0,1.0,4.0,1.0,1.0,12.0,7.0,1.0,1.0,1.0,1.0,4.0,"[3, 3, 4, 4, 3, 3, 4, 3, 3, 3]","[3, 2, 3, 4, 3, 3, 4, 2, 4, 4]",3.3,3.2
3,1.0,2.0,4.0,3.0,11.0,2.0,2.0,1.0,2.0,69.0,1.0,3.0,4.0,5.0,8.0,6.0,1.0,1.0,1.0,1.0,2.0,"[3, 2, 2, 2, 2, 4, 3, 4, 3, 4]","[3, 3, 2, 4, 3, 2, 3, 3, 3, 3]",2.9,2.9
4,0.0,5.0,1.0,1.0,12.0,7.0,2.0,1.0,2.0,32.0,1.0,5.0,1.0,1.0,14.0,9.0,1.0,1.0,2.0,3.0,4.0,"[2, 4, 3, 2, 2, 3, 4, 3, 2, 3]","[3, 2, 3, 3, 3, 3, 3, 3, 3, 3]",2.8,2.9
5,0.0,1.0,5.0,3.0,1.0,3.0,2.0,1.0,1.0,58.0,1.0,3.0,1.0,1.0,13.0,3.0,1.0,1.0,1.0,1.0,4.0,"[3, 3, 4, 4, 3, 3, 2, 3, 3, 3]","[3, 4, 4, 3, 4, 4, 2, 3, 4, 3]",3.1,3.4
6,1.0,3.0,2.0,3.0,12.0,6.0,2.0,1.0,2.0,42.0,2.0,3.0,5.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,5.0,"[3, 3, 2, 3, 2, 3, 3, 2, 2, 3]","[3, 3, 3, 4, 3, 2, 3, 2, 2, 3]",2.6,2.8
7,1.0,2.0,5.0,5.0,12.0,1.0,2.0,1.0,1.0,70.0,1.0,3.0,6.0,1.0,11.0,9.0,1.0,1.0,1.0,1.0,2.0,"[4, 4, 2, 4, 4, 4, 4, 4, 2, 4]","[3, 3, 3, 5, 2, 2, 4, 4, 3, 5]",3.6,3.4
8,0.0,4.0,3.0,3.0,10.0,2.0,2.0,1.0,2.0,64.0,1.0,5.0,2.0,6.0,16.0,9.0,0.0,0.0,3.0,1.0,4.0,"[2, 3, 3, 3, 2, 2, 3, 3, 3, 3]","[2, 3, 3, 3, 3, 3, 2, 3, 3, 3]",2.7,2.8
9,1.0,3.0,1.0,1.0,10.0,1.0,2.0,1.0,2.0,59.0,1.0,3.0,1.0,7.0,14.0,8.0,1.0,1.0,1.0,1.0,4.0,"[3, 3, 2, 4, 4, 4, 2, 2, 1, 3]","[2, 3, 1, 4, 1, 4, 3, 3, 4, 3]",2.8,2.8
10,0.0,2.0,2.0,3.0,1.0,5.0,2.0,1.0,2.0,38.0,5.0,4.0,5.0,2.0,11.0,3.0,1.0,1.0,1.0,1.0,3.0,"[3, 2, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 2, 2, 3, 2, 3, 3, 3]",2.9,2.7
